fid,batiment_c,batiment_g,code_depar,code_iris,code_commu,s_geom_cst,hauteur,altitude_s,fictive_ge
75693,BATIMENT0000000240757159-3,75111000AR0098_16a133bc6c68e4f,"75","751114210","75056","650",8.600000000000000,42.399999999999999,"0"
75694,BATIMENT0000000245186692-2,75111000AP0057_c804ee97860245a,"75","751114209","75056","409",23.300000000000001,34.399999999999999,"0"
75695,BATIMENT0000000245186687-1,75111000AP0057_c804ee97860245a,"75","751114209","75056","987",19.100000000000001,34.700000000000003,"0"
75696,BATIMENT0000000245186694-1,75111000AP0057_c804ee97860245a,"75","751114209","75056","17",7.100000000000000,34.399999999999999,"0"
75697,BATIMENT0000000245186696-2,75111000AP0057_c804ee97860245a,"75","751114209","75056","47",8.300000000000002,34.399999999999999,"0"
75698,BATIMENT0000000240754531-4,75111000AR0112_ac5fe86d5b544f5,"75","751114210","75056","691",18.000000000000000,37.100000000000001,"0"
75699,BATIMENT0000000240754542-2,75111000AR0112_ac5fe86d5b544f5,"75","751114210","75056","139",20.699999999999999,37.100000000000001,"0"
75700,BATIMENT0000000240755697-1,75111000AR0112_ac5fe86d5b544f5,"75","751114210","75056","8",13.699999999999999,37.100000000000001,"0"
75701,BATIMENT0000000240756360-1,75111000AR0124_a05b9593df72e5e,"75","751114210","75056","227",16.699999999999999,41.700000000000003,"0"
75702,BATIMENT0000000240756358-2,75111000AR0124_a05b9593df72e5e,"75","751114210","75056","254",16.199999999999999,41.899999999999999,"0"
75703,BATIMENT0000000240756370-3,75111000AR0124_a05b9593df72e5e,"75","751114210","75056","161",8.699999999999999,41.700000000000003,"0"
75704,BATIMENT0000000245187452-3,75111000AP0059_6612e313fb203bc,"75","751114209","75056","114",7.100000000000000,34.500000000000000,"0"
75705,BATIMENT0000000245187453-2,75111000AP0059_6612e313fb203bc,"75","751114209","75056","139",17.500000000000000,34.500000000000000,"0"
75706,BATIMENT0000000240756670-4,75111000AX0046_ef5e4301b347e68,"75","751114202","75056","28",18.000000000000000,55.899999999999999,"0"
